authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"Penumbra Quill","","","My Little Pony_Ponyville Mysteries_Peryton Panic","","","1.0"
"Miranda Davis","","","His Lordship's Last Wager","A Regency Romance Between Bitter Enemies","","1.0"
"Michelle Fox","Huntsville Pack Prequel","","Bring Her Wolf","Shapeshifter Werewolf Romance","Huntsville Pack Prequel","1.0"
"Molly Macrae","","","Scones and Scoundrels","","","1.0"
"Michael Phillips","Journals of Corrie Belle Hollister","7","Land of the Brave and the Free","","Journals of Corrie Belle Hollister","7.0"
"Michael Phillips","","","A Home for the Heart","","","1.0"
"Michael Phillips","","","Into the Long Dark Night","","","1.0"
"Michael Moreci","","","Black Star Renegades","","","1.0"
"Michael Phillips","","","Sea to Shining Sea","","","1.0"
"Mia Ford","","","Rescue Me","A Bad Boy Romance","","1.0"
"Mia Ford","","","His Brother's Wife","","","1.0"
"Melinda Di Lorenzo","","","After Hours","","","1.0"
"Megan Hart","Protector","","Dangerous Promise","","Protector","1.0"
"Melissa de la Cruz","","","Someone to Love","","","1.0"
"Mechthild Gläser","","","The Forgotten Book","","","1.0"
"Mary Robison","","","Why Did I Ever","","","1.0"
"Ronald L. Smith","","","Black Panther","","","1.0"
"Martin Edwards","British Library Crime Classics","0","The Long Arm of the Law","","British Library Crime Classics","0.0"
"Martha Freeman","","","Zap!","","","1.0"
"Mason Cross","","","Don't Look for Me","","","1.0"
"Marshall Grover","","","Larry and Stretch 7","","","1.0"
"Marshall Grover","","","Larry and Stretch 5","","","1.0"
"Marshall Grover","","","Big Jim 6","","","1.0"
"Marshall Grover","","","Larry and Stretch 6","","","1.0"
"Marshall Grover","","","Big Jim 3","","","1.0"
"Marsha Forchuk Skrypuch","","","Don't Tell the Enemy","","","1.0"
"Mark Mihalko","","","Salvation","A Templar's Quest for Redemption","","1.0"
"Marion Kummerow","War Girls","3","War Girl Anna","","War Girls","3.0"
"Marina Epley","Mind Breaker Series","3","Annihilation","A YA dystopian adventure","Mind Breaker Series","3.0"
"Marina Epley","Mind Breaker","2","Retaliation","","Mind Breaker","2.0"
"Mark Pryor","","","Dominic","","","1.0"
"Marina Epley","Mind Breaker","1","Elimination","","Mind Breaker","1.0"
"Marie Johnston","Walker Five","4","Guilt Ridden","","Walker Five","4.0"
"Maria Hoagland","Country Brides & Cowboy Boots","","The Inventive Bride","","Country Brides & Cowboy Boots","1.0"
"MarcyKate Connolly","","","Shadow Weaver Series, Book 1","","","1.0"
"MK Schiller","","","Kiss the Sky","","","1.0"
"Marieke Nijkamp","","","Before I Let Go","","","1.0"
"Lynette Eason","","","Oath of Honor","","","1.0"
"Lyndsay Ely","","","Gunslinger Girl","","","1.0"
"Luca D'Andrea","","","Beneath the Mountain","","","1.0"
"Lyle O'Connor","","","Lawless Measures_Vigilante_The Fight Continues","","","1.0"
"Louisa Heaton","","","A Father This Christmas?","","","1.0"
"Lorraine Beatty","","","Her Handyman Hero","","","1.0"
"Loree Lough","","","Bringing Rosie Home","","","1.0"
"Liviu Rebreanu","","","Forest of the Hanged","","","1.0"
"Lisa Harris","","","Deadly Exchange","","","1.0"
