authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"Melissa Ellen","","","Forever Yours","","","1.0"
"Melissa Ellen","","","A Reason to Leave","","","1.0"
"Melissa Ellen","","","The Only One","","","1.0"
"Melissa Ellen","","","A Reason to Stay","","","1.0"
"Meg Xuemei X","Empress of Mysth","8","Angel's Home","(An Alpha Alien Sci-fi Romance & Fallen Angel Paranormal Series)","Empress of Mysth","8.0"
"Meg Xuemei X","Empress of Mysth","7","Angel's War","(An Alpha Alien Sci-fi Romance & Fallen Angel Paranormal Series)","Empress of Mysth","7.0"
"Megyn Ward","Gilroy Clan","2","Claiming Cari","","Gilroy Clan","2.0"
"Meg Xuemei X","Empress of Mysth","6","Angel’s Mate","","Empress of Mysth","6.0"
"Meg Watson","Blood Brothers","2","Burned","A Mafia Menage Romance","Blood Brothers","2.0"
"Mary Crawford","Hidden Beauty Novel","9","Heart Wish","","Hidden Beauty Novel","9.0"
"Martin E. Silenus","","","D.A.R.I.A Book One","","","1.0"
"Martha Woods","Werewolves of Boulder Junction","5","The Alpha's Torment","","Werewolves of Boulder Junction","5.0"
"Anna Banti & Grazia Deledda & Natalia Ginzburg & Dacia Maraini & Elsa Morante & Anna Maria Ortese & Fabrizia Ramondino & Gina Lagorio & Rosetta Loy & Martha King","","","New Italian Women","A Collection of Short Fiction","","1.0"
"Mark Lukens","","","Razorblade Dreams_Horror Stories","","","1.0"
"Marguerite Valentine","","","Truth and Lies","","","1.0"
"Maddy Hunter","","","Say No Moor","","","1.0"
"M.C.A. Hogarth","","","Dreamhearth","","","1.0"
"M.C.A. Hogarth","","","A Rosary of Stones and Thorns","","","1.0"
"M.C.A. Hogarth","Dreamhealers","2","Mindline","","Dreamhealers","2.0"
"M.C.A. Hogarth","Dreamhealers","1","Mindtouch","","Dreamhealers","1.0"
"M. Anthony Harris","","","Sleeper Agent","","","1.0"
"M A Comley","DI Kayli Bright Trilogy","1","The Missing Children","","DI Kayli Bright Trilogy","1.0"
"Lynn Kurland","","","Stardust of Yesterday","","","1.0"
"Lynn Kurland","","","Dreams of Stardust","","","1.0"
"Lynn Kurland","","","From This Moment On","","","1.0"
"Lucy Quinn","","","Signed, Sealed, Fatal, I'm Yours","","","6.0"
"Lucas Thorn","Nysta","8","Scion of Dragonclaw","","Nysta","8.0"
"Lucy Lynn","","","Routes to Romance","","","1.0"
"Lisa von Biela","","","Down the Brink","","","1.0"
"Louise Allen","","","Thrown Away Child","","","1.0"
"Linzi Basset","","","Her Santa Dom","","","1.0"
"Lisa Renee Jones","","","End Game","","","1.0"
"Lilia Moon","Fettered","6","PLAY_Chloe & Eli","","Fettered","6.0"
"Leopold von Sacher-Masoch","","","Venus in Furs","","","1.0"
"Leona Windwalker","","","Sunsets at Sea","A Sol and Seth Story","","1.0"
"Leia Stone","Dragons and Druids","1","Skyborn","","Dragons and Druids","1.0"
"Len Webster","Thirty-Eight","4","All We Have","","Thirty-Eight","4.0"
"Lee Fisher","","","Meddling","","","1.0"
"Laurie Woodward","Artania Chronicles","2","The Kidnapped Smile","","Artania Chronicles","2.0"
"Lauren Blakely","","","Most Likely To Score","","","1.0"
"Laura Landon","","","The Traitor's Club_Jeb","","","1.0"
"Laura Farr","","","Taking Chances","","","1.0"
"Larissa Vine","Romance on the Go","","The Fashionista and Her Lumberjack","","Romance on the Go","1.0"
"L.V. Lloyd","","","TimeLabs Inc","","","1.0"
"Kristine Kathryn Rusch","","","The Runabout","","","1.0"
"L.V. Lloyd","","","Gothic Romance","","","1.0"
"Kristen Tsetsi","","","The Age of the Child","","","1.0"
"Kristine Kathryn Rusch","Diving Universe","5","The Falls","","Diving Universe","5.0"
"Kira Blakely","Forbidden Series","3","Forbidden Santa","A Blakely After Dark Novella","Forbidden Series","3.0"
"Kim Fielding","","","The Tale of August Hayling","","","1.0"
"Kim Lawrence","","","The Greek's Ultimate Conquest","","","1.0"
"Kevin Ikenberry","","","Runs In The Family","","","1.0"
"Keanan Brand","","","The Dragon and the Firefly","","","1.0"
"Kaylee Quinn","","","Bossed By The Billionaire","","","1.0"
"Ken Webster","","","The Vertical Plane","","","1.0"
"Kayelle Allen","","","Bringer of Chaos","Forged in Fire (Marooned on a Barren World)","","1.0"
"Kasey Belle","Copper Creek Pack Series","6","A Perfect Fated Christmas","A Copper Creek Novella","Copper Creek Pack Series","6.0"
"Kasey Belle","Copper Creek Pack","5","Mating Mal","","Copper Creek Pack","5.0"
"Kasey Belle","Copper Creek Pack","4","An Unexpected Triad","","Copper Creek Pack","4.0"
"Kasey Belle","Copper Creek Pack Series","3","Healing Cathy","","Copper Creek Pack Series","3.0"
"Kasey Belle","Copper Creek Pack Series","2","Prideless","","Copper Creek Pack Series","2.0"
"Kasey Belle","Copper Creek Pack Series","1","Their Cajun Queen","","Copper Creek Pack Series","1.0"
"Karl K Gallagher","","","Torchship Captain","","","1.0"
"Karl K Gallagher","","","Torchship Pilot","","","1.0"
"Kaitlyn Ewald","Lone Rangers MC","","Axel","","Lone Rangers MC","1.0"
"Kaesey Stobaugh & Hannah Chumley","","","Divided","","","1.0"
"K. R. Bolton","","","More Artists of the Right","","","1.0"
"Karl Holton","Shadow Series","2","The Wait for Shadows","","Shadow Series","2.0"
"KG MacGregor","","","The House on Sandstone","","","1.0"
"K.J. McPike","Souls Untethered Saga","1.5","Truths Unspoken","","Souls Untethered Saga","1.5"
"KG MacGregor","","","Sea Legs","","","1.0"
"KG MacGregor","","","Photographs of Claudia","","","1.0"
"K. G. MacGregor","","","Playing With Fuego","","","1.0"
"K. G. MacGregor","","","Mulligan","","","1.0"
"K. G. MacGregor","","","Luck of the Irish","","","1.0"
"KG MacGregor","","","Malicious Pursuit","","","1.0"
"K. G. MacGregor","","","Life After Love","","","1.0"
"KG MacGregor","","","Etched in Shadows","","","1.0"
"KC Burn","","","Banded Together","","","1.0"
"Justin Miller","","","World Seed_Endgame","","","1.0"
"Justin Miller","","","World Seed_Expansion","","","1.0"
"Justin Miller","","","World Seed_Game Start","","","1.0"
"Juliana Conners","","","Twice the Fun","A Bad Boy MFM Menage Romance","","1.0"
"Juliana Conners","","","Larson","An Outlaw MC Bad Boy Romance","","1.0"
"Julia Leijon","","","Burning Bright","A Spicy M/M Weretiger Heist Romance","","1.0"
"Julia Imari","","","Snowbound Kisses","","","1.0"
"Jules Dixon","Holiday Hotties","1","Champagne Cheers","","Holiday Hotties","1.0"
"Judith Keim","","","Lunch at the Beach House Hotel","","","1.0"
"Josefina Rivera","","","Cellar Girl","","","1.0"
"Jordan Silver","SEAL Team Sevens","6","SEAL Team Seven Books 6&7 Quinn and Devon","","SEAL Team Sevens","6.0"
"Jordan M. Poss","","","Dark Full of Enemies","","","1.0"
"Josephine Moon","","","The Beekeeper's Secret","","","1.0"
"Jonathan Rynhold","","","The Arab_Israeli Conflict","in American Political Culture","","1.0"
"Jonathan Newman","Scarcity War Saga","1","Power Play","","Scarcity War Saga","1.0"
"Jon McGregor","","","The Reservoir Tapes","","","1.0"
"John P. Logsdon & Christopher P. Young","Tales from the Land of Ononokin","6","Saving Major Wiggles","","Tales from the Land of Ononokin","6.0"
"John P. Logsdon & Christopher P. Young","Tales from the Land of Ononokin","7","The Ultimate Dragon Fighting Championship","","Tales from the Land of Ononokin","7.0"
"John Greenya","","","Gorsuch","","","1.0"
"Jess Bentley","","","Five Men and a Nanny","A Reverse Harem Romance","","1.0"
"Jim Johanson","","","Evelyn's Children","","","1.0"
"Jerry Cole","","","On Thin Ice","","","1.0"
"Jenna Lyn Wright","Hellion,","1","The Counterfeit City","","Hellion,","1.0"
"Jeffrey ""Falcon"" Logue","Slime Dungeon Chronicles","4","The Dungeon's Burden","","Slime Dungeon Chronicles","4.0"
"Jean Burnett","","","The Bad Miss Bennet Abroad","","","1.0"
"jeff knoblauch","","","The Journey of Atlantis_Leaving Home","","","1.0"
"Jason Ingolfsland","","","Pocket Wilderness & Other Horrors","","","1.0"
"Jasmine Flowerday","Kites of the Arc","2","Illuminated Embers","","Kites of the Arc","2.0"
"Janet Browne","","","The Quotable Darwin","","","1.0"
"Jane Lark","","","Jane the Authoress","","","1.0"
"Jane Harvey-Berrick","Traveling Series","4","Carnival","","Traveling Series","4.0"
"Jane Harvey-Berrick","Traveling Series","3","Roustabout","","Traveling Series","3.0"
"James Hunt","","","Death Notes Omnibus","","","1.0"
"James David Victor","Jack Forge, Fleet Marine","3","Forged to Lead","","Jack Forge, Fleet Marine","3.0"
"Jacqueline Brown","Light","3","From the Shadows","","Light","3.0"
"J.W Lateer","","","The Three Barons","","","1.0"
"JT Lawrence","When Tomorrow Calls","1","Why You Were Taken","A Cyberpunk Conspiracy Thriller","When Tomorrow Calls","1.0"
"JT Lawrence","When Tomorrow Calls","2","How We Found You","A Cyberpunk Kidnapping Thriller","When Tomorrow Calls","2.0"
"J. R. Ward","Black Dagger Brotherhood","0","The Black Dagger Brotherhood_An Insider's Guide","","Black Dagger Brotherhood","0.0"
"J. R. Ward","","","Blood Fury","Black Dagger Legacy","","1.0"
"J. R. Ward","","","Blood Kiss","","","1.0"
"J. R. Ward","Black Dagger Brotherhood SS","1","Father Mine","","Black Dagger Brotherhood SS","1.0"
"J. R. Ward","","","Blood Vow","","","1.0"
"J. R. Ward","","","The Shadows","","","1.0"
"J. R. Ward","Black Dagger Brotherhood","12","The King","","Black Dagger Brotherhood","12.0"
"J. R. Ward","","","Lover At Last","A Novel of the Black Dagger Brotherhood","","1.0"
"J. R. Ward","","","Lover Reborn","A Novel of the Black Dagger Brotherhood","","1.0"
"J. R. Ward","","","Lover Unleashed","","","1.0"
"J. R. Ward","","","Lover Avenged","","","1.0"
"J. R. Ward","","","Lover Mine","","","1.0"
"J. R. Ward","","","Lover Unbound","","","1.0"
"J. R. Ward","","","Lover Revealed","","","1.0"
"J. R. Ward","","","Lover Enshrined","","","1.0"
"J. R. Ward","","","Lover Awakened","","","1.0"
"J. R. Ward","","","Lover Eternal","","","1.0"
"J. R. Ward","","","Dark Lover","","","1.0"
"J. R. Jones","","","The Lives of Robert Ryan","","","1.0"
"J.I. Greco","Scoundrels of the Wasteland","3","Death From Above!","","Scoundrels of the Wasteland","3.0"
"J.I. Greco","Scoundrels of the Wasteland","2","We're Going to War!","","Scoundrels of the Wasteland","2.0"
"J.H. Croix","Brit Boys Sports Romance","5","Naughty Wish","","Brit Boys Sports Romance","5.0"
"J. Kenneth Brody","","","Crucible of a Generation","How the Attack on Pearl Harbor Transformed America","","1.0"
"Isaac Hooke","Argonauts","9","Operation_Bug Spray","","Argonauts","9.0"
"J.H. Croix","Brit Boys Sports Romance","3","Out Of Bounds","","Brit Boys Sports Romance","3.0"
"Ines Vieira","When Life Gets in the Way","2","When Sh*t Gets in the Way","","When Life Gets in the Way","2.0"
"Ines Vieira","","","When Life Gets in the Way","","","1.0"
"Hunter Shea","","","Fury Of The Orcas","","","1.0"
"Henry W. Hewet","","","Cinderella","","","1.0"
"Hildred Billings","","","Liquid Courage","","","1.0"
"Heidi Cullinan","","","The Twelve Days of Randy","(Special Delivery)","","1.0"
"Heather West","Damned Angels MC","","DEAL WITH THE DEVIL","","Damned Angels MC","1.0"
"Heather Rainier","Tangere Tales","3","Dance of the Dragon Sorceress","","Tangere Tales","3.0"
"Heather Rainier","Tangere Tales","2","Midnight of the Fae","","Tangere Tales","2.0"
"Heather Renee","Falls Trilogy","3","Embracing The Falls","","Falls Trilogy","3.0"
"Heather McCorkle","Wolves of Hemlock Hollow","","Once Bitten","","Wolves of Hemlock Hollow","1.0"
"Harper Logan","Long Haul","2","Long Shot","","Long Haul","2.0"
"Harper Fox","Arthur Trilogy","2","The Dragon's Tale","","Arthur Trilogy","2.0"
"Harley Tate","After the EMP","7","Hope Sparks","A Post-Apocalyptic Survival Thriller","After the EMP","7.0"
"Ginny Dye","Bregdan Chronicles","10","Walking Into The Unknown","Historical Fiction Romance","Bregdan Chronicles","10.0"
"Harry Stephen Keeler","","","The Man with the Magic Eardrums","","","1.0"
"GEORGE LICATA","","","Welcome to the Dance USN","","","1.0"
"Gareth Lewis","","","Soul Food","","","1.0"
"G.D. Abson","","","Motherland","A gripping crime thriller set in the dark heart of Putin's Russia","","1.0"
"Gabriel Nostradamus","","","Consult the Oracle","","","1.0"
"Fiona Quinn","Strike Force","","In Too Deep","An Iniquus Romantic Suspense Mystery Thriller","Strike Force","1.0"
"Faye Larson","Pact","2","The Pumpkin Pact","","Pact","2.0"
"Heekyung Eun","","","Beauty Looks Down on Me","","","1.0"
"Erin R Flynn","Seraphine Thomas","6","Hunted Wolf","","Seraphine Thomas","6.0"
"Emma Slate","","","SINS of the Rex Book 3","","","1.0"
"Emma Slate","","","SINS of the Rex Book 2","","","1.0"
"Emma Savant","Glimmers Universe","1","Spinning Into Gold","A Glimmers Novel","Glimmers Universe","1.0"
"Elliot Love","","","Savvy My Heart_Love Bites","","","1.0"
"Ellie Hunt","Dirty Threesomes","4","Double Bikers","An MMF Menage","Dirty Threesomes","4.0"
"Ellie Hunt","Dirty Threesomes","5","Taking Her Twice","An MMF Menage","Dirty Threesomes","5.0"
"Edwin A. Abbott","","","Onesimus","","","1.0"
"Drew Hunt","","","Together Box Set","","","1.0"
"Donald Keene","","","Five Modern Japanese Novelists","","","1.0"
"Dominique Kyle","Not Quite Eden","6","The Way Back","","Not Quite Eden","6.0"
"Dominique Laura","","","This Life Isn't Mine","","","1.0"
"Dominique Kyle","Not Quite Eden","3","Thrills and Spills","","Not Quite Eden","3.0"
"Dominique Kyle","Not Quite Eden","4","The Way Barred","","Not Quite Eden","4.0"
"Dominique Kyle","Not Quite Eden","2","Paradise Postponed","","Not Quite Eden","2.0"
"Dominique Kyle","","","Not Quite Eden","","","1.0"
"Deanna Wadsworth","","","Welcome Home, Soldier","","","1.0"
"Dawn Chapman & Matt Ferraz","","","Know Thy Enemy","","","1.0"
"David Jobe","Broken Ones","2","The Broken Ones [Book 2]_The Broken Families","","Broken Ones","2.0"
"David Jobe","Broken Ones","1","The Broken Ones [Book 1]","","Broken Ones","1.0"
"David Goldon","","","Engle Byen A Place to Call Home","","","1.0"
"David Gay-Perret","","","Chronicles of Galadria III_Lessons","","","1.0"
"David Gay-Perret","","","Chronicles of Galadria II_Encounters","","","1.0"
"David Gay-Perret","","","Chronicles of Galadria I_The Other World","","","1.0"
"David Drake","","","The Spark","","","1.0"
"Darcie Boleyn","","","Summer at Conwenna Cove","","","1.0"
"Jerry Izenberg & Pete Rozelle","","","Rozelle","A Biography","","1.0"
"Darci Hannah","","","The Exile of Sara Stevenson","","","1.0"
"Dan McMillan","","","How Could This Happen","","","1.0"
"Daniel A. Hoyt","","","This Book Is Not for You","","","1.0"
"Dame Stephanie Shirley & Richard Askwith","","","Let IT Go_The Memoirs of Dame Stephanie Shirley","","","1.0"
"D.W. Hawkins","Seven Signs","2","The Knife in the Dark","","Seven Signs","2.0"
"D. L. Harrison","","","Betrayed_Necromancer's Blight_Book 3","","","1.0"
"DJ Bryce","Brothers of the Heart","2","Right Girl, Wrong Alpha","","Brothers of the Heart","2.0"
"D. E. Brown","","","A Sensational Touch","","","1.0"
"Cyrus Meadows","","","Some Punk Rock Werewolf Romance in the Oklahoma Sun","","","1.0"
"Crystal Dawn & Zodiac Shifters","","","Pegasus in Peril","","","1.0"
"Various Authors","","","The Malfeasance Occasional","","","1.0"
"Craig Sager","","","Living Out Loud","","","1.0"
"Constance Barker","Old School Diner Cozy Mysteries","4","Murder, Basted and Barbecued","","Old School Diner Cozy Mysteries","4.0"
"Colleen Baxter Sullivan","","","Jaded","","","1.0"
"Colleen Baxter Sullivan","","","Gritty","","","1.0"
"Claudio Hernández","","","Tom´s Story","","","1.0"
"Claire St. Rose","Immortal Souls MC","1","PREGNANT AT THE ALTAR","","Immortal Souls MC","1.0"
"Christopher Cartwright","Sam Reilly","9","Code to Extinction","","Sam Reilly","9.0"
"Christina Bergling","","","The Waning","","","1.0"
"Christina Bergling","","","Savages","","","1.0"
"Chris Ward","Fire Planets Saga","1","Fire Fight","","Fire Planets Saga","1.0"
"Chris Johnson","Revenant Chronicles","1","Dead Cell","","Revenant Chronicles","1.0"
"Chloe Fischer","","","PROTECT ME","","","1.0"
"Chanda Stafford","Darkness Falls","2","What Darkness Hides","","Darkness Falls","2.0"
"Chloe Walsh","Carter Kids","6","Altered","","Carter Kids","6.0"
"Cate Farren","","","Love and Werewolves","","","1.0"
"Cate Farren","Portal Witch","1","The Scale Empire","","Portal Witch","1.0"
"Cassandra Bloom","","","Yes Sir","Bad Boy Billionaire Boss Romance","","1.0"
"G K Chesterton","","","Murder On Christmas Eve","","","1.0"
"Carolina Mac","Paradise Park","2","Return To Paradise","","Paradise Park","2.0"
"Jamie Davis & C.J. Davis","","","Accidental Mage","Book Three in the LitRPG Accidental Traveler Adventure","","1.0"
"Carole Matthews","","","Million Love Songs","","","1.0"
"CJ Bishop","","","A Night To Remember","Phoenix Wedding Night","","1.0"
"C.C. Ekeke","","","Forsaken","A Star Brigade Strikefile","","1.0"
"Brian Masters","","","Killing For Company","","","1.0"
"Bren Christopher","","","Friday Night Jamie","","","1.0"
"Bill Willoughby","","","Turnabout Is Fair Play","","","1.0"
"Bernard Maclaverty","","","Matters of Life & Death","","","1.0"
"Bernard Maclaverty","","","Collected Stories","","","1.0"
"Benjamin Boswell","","","Esther's Innocence","","","1.0"
"Brad Cohen","","","Front of the Class","","","1.0"
"Barrie Roberts","","","Crowner and Justice","","","1.0"
"Barrie Roberts","Chris Tyroll Mystery","3","Bad Penny Blues","","Chris Tyroll Mystery","3.0"
"Barrie Roberts","","","Robbery with Malice","","","1.0"
"Barbara Svetlick","Life of Mirisa Eppes","6","The Visitor_The Final Ride 1875_1928","","Life of Mirisa Eppes","6.0"
"Barbara Svetlick","","","The Visitor","The Bell Tower 1873 - 1875 (The Life of Mirisa Eppes)","","1.0"
"Barbara Svetlick","Life of Mirisa Eppes","4","The Visitor_New York 1871_1873","","Life of Mirisa Eppes","4.0"
"Barbara Svetlick","Life of Mirisa Eppes","3","The Visitor_Colorado 1869_1871","","Life of Mirisa Eppes","3.0"
"Barbara Svetlick","Life of Mirisa Eppes","2","The Visitor_Texas 1863_1869","","Life of Mirisa Eppes","2.0"
"Barbara Davies","","","Licensed to Spy","","","1.0"
"B.A. Gabrielle","Irregular Series","1","Irregular Heartbeat","","Irregular Series","1.0"
"Arizona Tape","Triple Threat","2","Regan's Redemption","a Reverse Harem Paranormal Romance","Triple Threat","2.0"
"Aspen Grey","Foxes of Scarlet Peak","1","Omega's Submission","An M/M Shifter MPreg Romance","Foxes of Scarlet Peak","1.0"
"Aria Cole","","","Under the Mistletoe","(A Blue Collar Alpha Christmas)","","1.0"
"Anthony Chaney","","","Runaway","","","1.0"
"Ann Lister","","","An Early Spring","","","1.0"
"Annabel Alden","","","Mail Order Bride","A Bride's Unexpected Love","","1.0"
"Andrea Camilleri","","","A Nest of Vipers","","","1.0"
"Andrea Camilleri","","","A Beam of Light","","","1.0"
"Andrea Camilleri","Inspector Montalbano","18","Game of Mirrors","","Inspector Montalbano","18.0"
"Andrea Camilleri","","","A Voice in the Night","","","1.0"
"Andrea Camilleri","","","Judge Surra","","","1.0"
"Andrea Camilleri","Inspector Montalbano Mysteries","18","Angelica's Smile","","Inspector Montalbano Mysteries","18.0"
"Andrea Camilleri","Inspector Montalbano","18","The Fourth Secret","","Inspector Montalbano","18.0"
"Andrea Camilleri","Inspector Montalbano","16","Treasure Hunt","","Inspector Montalbano","16.0"
"Andrea Camilleri","Inspector Montalbano","15","The Dance of the Seagull","","Inspector Montalbano","15.0"
"Andrea Camilleri","Inspector Montalbano","14","The Age of Doubt","","Inspector Montalbano","14.0"
"Andrea Camilleri","Inspector Montalbano","13","The Potter's Field","","Inspector Montalbano","13.0"
"Andrea Camilleri","Inspector Montalbano","12","The Track of Sand","","Inspector Montalbano","12.0"
"Andrea Camilleri","Inspector Montalbano","10","August Heat","","Inspector Montalbano","10.0"
"Andrea Camilleri","Inspector Montalbano","11","The Wings of the Sphinx","","Inspector Montalbano","11.0"
"Andrea Camilleri","Inspector Montalbano","9","The Paper Moon","","Inspector Montalbano","9.0"
"Andrea Camilleri","Inspector Montalbano","8","The Patience of the Spider","","Inspector Montalbano","8.0"
"Andrea Camilleri","Inspector Montalbano","7","Rounding the Mark","","Inspector Montalbano","7.0"
"Andrea Camilleri","Inspector Montalbano","6","The Smell of the Night","","Inspector Montalbano","6.0"
"Andrea Camilleri","Inspector Montalbano","5","Excursion to Tindari","","Inspector Montalbano","5.0"
"Andrea Camilleri","Inspector Montalbano","4","Voice of the Violin","","Inspector Montalbano","4.0"
"Andrea Camilleri","Inspector Montalbano","3","The Snack Thief","","Inspector Montalbano","3.0"
"Andrea Camilleri","Inspector Montalbano","2","The Terra_Cotta Dog","","Inspector Montalbano","2.0"
"Andrea Camilleri","Inspector Montalbano","1","The Shape of Water","","Inspector Montalbano","1.0"
"Andrea Camilleri","","","The Brewer of Preston_A Novel","","","1.0"
"Andrea Camilleri","","","Montalbano's First Case","","","1.0"
"Andrea Camilleri","","","Hunting Season_A Novel","","","1.0"
"Amy Brent","","","Pretend Daddy","A Fake Marriage Romance","","1.0"
"Amabel Daniels","Romance on the Go","","New Year's Next Door","","Romance on the Go","1.0"
"Amanda Stevens","","","Whispering Springs","","","1.0"
"Ally Summers","","","Bearly Royal_Alaric","","","1.0"
"Alice Blakely","","","The Holiday Surprise","A Billionaire Surrogate Baby Romance","","1.0"
"Ali Vali","","","Heart of the Devil","","","1.0"
"Alex Gunwick","American Fallout","2","Edge of Disaster","An EMP Post-Apocalyptic Survival Prepper Series","American Fallout","2.0"
"Alex DuBois","Fated Flames","1","Crimson Flames","A gay mpreg dragon shifter romance","Fated Flames","1.0"
"Al K. Line","Dark Magic Enforcer","8","Wild Spark","","Dark Magic Enforcer","8.0"
"Al K. Line","Dark Magic Enforcer","7","Dead Spark","","Dark Magic Enforcer","7.0"
"Aimee Hix","","","What Doesn't Kill You","","","1.0"
"Adella J. Harris","","","Released","","","1.0"
"Aaron J. Ethridge","Last Time Traveler","4","The Search for Cleo","","Last Time Traveler","4.0"
"Aaron Crash","Galactic Demon Hunters","1","Damnation Robot","A Paranormal Space Opera Adventure","Galactic Demon Hunters","1.0"
"Alain Daniélou","","","Yoga","Mastering the Secrets of Matter and the Universe","","1.0"
"A.L. Jackson","","","Hunt Me Down","A Fight for Me Series Stand-Alone Novella","","1.0"
"Zoey Parker","Jagged Rebels MC","","TAKING HIS SEED","","Jagged Rebels MC","1.0"
"AB Morgan","","","Divine Poison","a crime mystery you won't be able to put down","","1.0"
"Willis George Emerson","","","The Smoky God","A Voyage to the Inner World","","1.0"
"Uzi Eilam","International Espionage","3","California Triangle","A Passionate Thriller About the Mossad, FBI and Iranian Revolutionary Guards","International Espionage","3.0"
"Tina Kunkle","","","Despair","","","1.0"
"Timothy Van Sickel","Righteous Survival EMP Saga","3","Righteous Sacrifice","","Righteous Survival EMP Saga","3.0"
"Tia Louise","Vault","1","Sundown","A thrilling tale of revenge","Vault","1.0"
"Tia Louise","Bright Lights","1","Under the Lights","A thrilling, second-chance romance duet.","Bright Lights","1.0"
"Thomas Sowell","","","Basic Economics","","","1.0"
"Summer Cooper","","","Billionaire's Game","","","1.0"
"Steven Heighton","","","Every Lost Country","","","1.0"
"Stanimir Mirov","Leo and Capone","3","Gangsters In Time III_Veni, Vidi, Vici","","Leo and Capone","3.0"
"Spencer J. Quinn","","","White Like You","","","1.0"
"Sophia Gray","Carnage Warriors MC","","ONE MORE RIDE","","Carnage Warriors MC","1.0"
"Siobhan Davis","","","Inseparable","","","1.0"
"Sharon Lee & Steve Miller","Liaden Universe","1","The Cat's Job","","Liaden Universe","1.0"
"Seth Hunter","","","The Spoils of Conquest","","","1.0"
"Scarlett Whispers","","","After/Life_Bargaining","","","1.0"
"Sarah Darlington","","","Crazy Sexy Notion","","","1.0"
"Stephen Jarrett","cases of Canopus and Keel","1","The Hive","","cases of Canopus and Keel","1.0"
"Ryk Brown","Frontiers Saga","","Fall of the Core_Netcast 03","","Frontiers Saga","1.0"
"Robin Roseau","Galatzi Trade","3","Galatzi Joy","","Galatzi Trade","3.0"
"Robert P. Chappell & Jr.","","","Child Identity Theft","What Every Parent Needs to Know","","1.0"
"Rick Scott","Crystal Shards Online","1","Dodge Tank","A LitRPG Novel","Crystal Shards Online","1.0"
"Reese Ryan","","","Harlequin Kimani Romance January 2018 Box Set","","","1.0"
"Rebecca Baelfire","Shadowsword's Harem","1","Dragonsteel","(Reverse Harem Urban Fantasy Romance)","Shadowsword's Harem","1.0"
"Randall Allen Dunn","Red Rider saga","2","Red Rider Revolution","","Red Rider saga","2.0"
"Randal Sloan","","","Badlands_Defenders of the Rim","A Far Future SciFi Thriller","","1.0"
"Rachelle Ayala","Sanchez Sisters","","Claiming Carlos","","Sanchez Sisters","1.0"
"Rachelle Ayala","Have A Hart","5","Valentine Wedding Hound","","Have A Hart","5.0"
"test","","","Publishing a Book","","","1.0"
"Rachelle Ayala","Have A Hart","3","Spring Fling Kitty","","Have A Hart","3.0"
"Rachelle Ayala","Have A Hart","2","Valentine Hound Dog","","Have A Hart","2.0"
"Rachelle Ayala","","","Bad Boys for Hire_Nick_Christmas Holiday","","","1.0"
"Rachelle Ayala","Have A Hart","1","Christmas Lovebirds","","Have A Hart","1.0"
"Pippa Greathouse & Ruby Caine","Conquered","1","Conquered by the Captain","","Conquered","1.0"
"Paul Christensen","","","Greybeard","","","1.0"
"Pamela Paul","","","Pornified","How Pornography Is Transforming Our Lives, Our Relationships, and Our Families","","1.0"
"Nina Burman","","","Volucris_Emmergence","","","1.0"
"Nicole Fox","Warriors MC","","KNOCKED UP BY THE BAD BOY","","Warriors MC","1.0"
"Neil Spring","Ghost Hunters","2","The Lost Village","A Haunting Page-Turner With A Twist You'll Never See Coming!","Ghost Hunters","2.0"
"Natasha Madison","Something So Series","3","Something So Irresistible","","Something So Series","3.0"
"Naomi Niles","","","The Nanny","(A Billionaire Romance)","","1.0"
"N.J. Lysk","Stars of the Pack","4","Beloved of the Pack","Alpha/Beta/Omega Dark Mpreg Romance","Stars of the Pack","4.0"
"Milo James Fowler","Captain Bartholomew Quasar","","The Space_Time Displacement Conundrum","","Captain Bartholomew Quasar","1.0"
"Mike Kraus","No Sanctuary Series","5","The Gauntlet","Thrilling Post-Apocalyptic Survival Series","No Sanctuary Series","5.0"
"Michelle Nicholas","Forever Love","1","Secret Admirer","","Forever Love","1.0"
"Michael Priv","","","The Fifth Battalion","Death is a poor excuse for dereliction of duty","","1.0"
"Michael Nadeau","Lythinall Novel","2","The Darkness Within","","Lythinall Novel","2.0"
"Amy DuBoff & Michael Anderle & Craig Martelle","Uprise Saga","3","Veiled Designs","Age Of Expansion - A Kurtherian Gambit Series","Uprise Saga","3.0"
"Mia Carson","","","Secret Wife","","","1.0"
"Mia Carson","","","Daddy Secrets","","","1.0"
"Meg Xuemei X","Empress of Mysth","5","Angel's Fury","","Empress of Mysth","5.0"
"Matthew Schmidt","","","The City and the Dungeon","Those who Dwell and Delve Within","","1.0"
"Mary Danganan","","","The Last Vampire","","","1.0"
"Martin Turnbull","Hollywood's Garden of Allah novels","7","Tinseltown Confidential","A Novel of Golden-Era Hollywood","Hollywood's Garden of Allah novels","7.0"
"Martin Turnbull","Hollywood's Garden of Allah novels","6","Twisted Boulevard","A Novel of Golden-Era Hollywood","Hollywood's Garden of Allah novels","6.0"
"Martin Schiller","","","Blackbird","A Warrior of the No-When","","1.0"
"Martin Geck","","","Robert Schumann","The Life and Work of a Romantic Composer","","1.0"
"Martin Geck","","","Richard Wagner","A Life in Music","","1.0"
